REEF,HABITAT,SECTOR,SCORE
19-127,L,South,2
19-206,C,South,1
19-206,C,South,0
19-206,C,South,1
19-206,C,South,0
19-206,L,South,0
19-168,C,South,2
19-168,C,South,3
19-168,F,South,3
19-169,C,South,2
19-169,C,South,2
19-169,C,South,3
19-134,C,South,2
19-134,C,South,2
19-134,C,South,3
19-134,F,South,1
19-134,F,South,1
19-134,F,South,2
19-134,F,South,2
19-134,L,South,1
19-134,L,South,2
19-134,L,South,2
19-134,L,South,2
19-129,C,South,1
19-129,C,South,2
19-129,C,South,2
19-129,F,South,2
19-207,C,South,2
19-207,C,South,2
19-207,C,South,1
19-207,C,South,2
19-207,C,South,2
19-207,F,South,1
19-207,L,South,2
19-135,C,South,1
19-135,C,South,2
19-135,C,South,2
19-135,L,South,2
19-135,L,South,1
19-187,C,South,1
19-187,C,South,2
19-187,C,South,2
19-187,C,South,1
19-187,C,South,1
19-187,C,South,2
19-187,C,South,3
19-187,F,South,1
19-187,F,South,2
19-187,L,South,1
19-208,C,South,1
19-208,C,South,1
19-208,C,South,1
19-208,C,South,2
19-136a,C,South,1
19-136a,C,South,2
19-136a,C,South,3
19-136a,C,South,2
19-136a,C,South,2
19-136a,C,South,3
19-209,C,South,1
19-209,C,South,1
19-209,C,South,1
19-209,F,South,1
19-209,L,South,0
19-209,L,South,1
19-246,C,South,1
19-246,C,South,2
19-246,C,South,1
19-246,F,South,3
19-246,F,South,2
19-246,L,South,2
19-212,C,South,1
19-212,C,South,1
19-212,C,South,2
19-212,U,South,2
19-214,C,South,1
19-214,C,South,1
19-214,C,South,1
19-214,C,South,2
19-214,F,South,0
19-214,L,South,2
19-197,C,South,2
19-197,C,South,1
19-197,F,South,0
19-197,F,South,0
19-197,L,South,2
19-197,L,South,2
19-216,C,South,1
19-216,F,South,1
19-216,L,South,1
19-220,C,South,0
19-220,C,South,1
19-220,C,South,0
19-220,C,South,1
19-220,F,South,0
19-221,C,South,1
19-221,C,South,1
19-221,F,South,0
19-222,C,South,2
19-222,C,South,1
19-222,F,South,2
19-225,C,South,1
19-225,C,South,2
19-225,C,South,2
19-225,C,South,2
19-225,F,South,1
19-225,L,South,1
19-225,L,South,1
19-204,C,South,2
19-204,C,South,2
19-204,L,South,1
19-227,C,South,1
19-227,F,South,1
20-115,C,South,0
20-115,C,South,1
20-115,C,South,0
20-115,F,South,0
20-115,L,South,1
20-115,L,South,1
20-104,C,South,1
20-104,C,South,1
20-104,F,South,1
20-104,L,South,1
20-014,C,South,1
20-014,C,South,2
20-014,C,South,1
20-014,U,South,1
20-028h,U,South,2
20-028h,U,South,3
20-105,C,South,0
20-105,C,South,2
20-105,F,South,0
20-105,L,South,0
20-105,L,South,0
20-105,L,South,0
20-105,U,South,1
20-017,C,South,2
20-121,C,South,1
20-121,F,South,1
20-119,C,South,2
20-119,C,South,0
20-119,C,South,1
20-119,C,South,1
20-119,C,South,1
20-119,F,South,0
20-119,F,South,2
20-119,F,South,1
20-119,F,South,1
20-119,F,South,1
20-119,F,South,2
20-119,L,South,1
20-119,L,South,0
20-119,L,South,0
20-119,L,South,0
20-127,C,South,1
20-127,C,South,1
20-127,C,South,0
20-127,C,South,1
20-127,C,South,1
20-127,C,South,1
20-127,F,South,0
20-127,F,South,1
20-127,F,South,0
20-127,F,South,0
20-127,F,South,0
20-128,F,South,2
20-128,L,South,1
20-128,L,South,1
20-125,C,South,1
20-125,C,South,1
20-125,C,South,1
20-125,F,South,1
20-125,L,South,1
20-112,C,South,1
20-112,C,South,1
20-112,C,South,2
20-112,C,South,2
20-112,C,South,2
20-112,F,South,1
20-112,F,South,2
20-112,F,South,2
20-112,F,South,2
20-112,L,South,1
20-112,L,South,1
20-131,C,South,0
20-131,C,South,1
20-131,C,South,0
20-131,C,South,1
20-131,L,South,1
20-126,C,South,1
20-126,C,South,1
20-126,F,South,0
20-126,L,South,0
20-126,L,South,0
20-129,C,South,1
20-129,F,South,0
20-129,F,South,0
20-129,F,South,1
20-129,L,South,0
20-129,L,South,1
20-132,C,South,0
20-132,C,South,1
20-132,C,South,1
20-132,C,South,1
20-132,F,South,1
20-132,F,South,1
20-132,L,South,1
20-132,L,South,0
20-132,L,South,0
20-167,C,South,1
20-167,C,South,0
20-167,F,South,1
20-167,F,South,1
20-167,L,South,1
20-078a,C,South,2
20-172,C,South,0
20-172,C,South,0
20-172,C,South,0
20-172,F,South,0
20-172,F,South,1
20-172,L,South,0
20-172,L,South,0
20-172,L,South,0
20-134,C,South,0
20-134,C,South,1
20-134,F,South,0
20-134,L,South,0
20-134,L,South,1
20-179,C,South,0
20-179,C,South,0
20-179,C,South,0
20-179,F,South,0
20-179,L,South,0
20-179,L,South,0
20-182,C,South,0
20-182,C,South,1
20-182,C,South,0
20-182,F,South,0
20-182,U,South,1
20-138,C,South,0
20-138,C,South,0
20-138,F,South,0
20-138,F,South,0
20-138,F,South,0
20-138,L,South,0
20-138,U,South,1
20-135,C,South,0
20-135,C,South,0
20-135,L,South,0
20-137,C,South,0
20-137,F,South,0
20-137,L,South,0
20-136,C,South,1
20-136,C,South,0
20-136,C,South,1
20-136,F,South,0
20-136,L,South,0
20-136,L,South,0
20-185c,C,South,1
20-185c,C,South,0
20-185c,C,South,1
20-185c,C,South,1
20-185c,F,South,1
20-185c,L,South,0
20-185c,L,South,0
20-185c,L,South,0
20-185c,L,South,0
20-185a,C,South,1
20-186,C,South,1
20-186,C,South,0
20-186,F,South,1
20-187,C,South,1
20-187,C,South,1
20-187,C,South,0
20-187,C,South,1
20-187,F,South,1
20-187,F,South,1
20-187,L,South,1
20-194a,C,South,1
20-194a,C,South,1
20-194a,F,South,1
20-194a,L,South,0
20-197,C,South,0
20-197,C,South,0
20-197,F,South,0
20-197,L,South,0
20-474,C,South,0
20-474,C,South,1
20-474,C,South,1
20-474,L,South,0
20-470,C,South,1
20-469,C,South,0
20-469,C,South,1
20-469,C,South,1
20-469,C,South,1
20-469,F,South,1
20-469,L,South,1
20-469,L,South,1
20-469,L,South,1
20-469,L,South,1
20-469,L,South,0
20-469,L,South,0
20-469,L,South,1
20-469,L,South,2
20-296,C,South,1
20-296,C,South,1
20-296,F,South,0
20-296,F,South,0
20-295,F,South,0
20-295,F,South,0
20-295,F,South,1
20-295,L,South,0
20-295,L,South,0
20-295,L,South,0
20-322,C,South,1
20-322,C,South,1
20-324,C,South,0
20-324,C,South,0
20-324,C,South,0
20-324,F,South,0
20-324,F,South,0
20-324,L,South,0
20-298,C,South,0
20-298,C,South,0
20-298,C,South,0
20-298,F,South,0
20-299a,F,South,0
20-299a,L,South,0
20-326,C,South,0
20-326,C,South,0
20-326,C,South,1
20-326,F,South,0
20-326,F,South,1
20-326,L,South,0
20-326,L,South,1
20-326,L,South,1
20-326,L,South,1
20-299c,C,South,0
20-299c,L,South,0
20-299c,L,South,2
20-299c,L,South,0
20-301b,C,South,0
20-301b,C,South,0
20-301b,F,South,0
20-335,C,South,1
20-335,C,South,1
20-335,C,South,1
20-335,C,South,1
20-335,F,South,0
20-335,F,South,0
20-335,F,South,0
20-335,F,South,1
20-335,L,South,0
20-335,L,South,1
20-335,L,South,1
20-335,L,South,0
20-335,L,South,0
20-335,L,South,0
20-301a,C,South,0
20-301a,C,South,0
20-301a,C,South,0
20-301a,C,South,0
20-301a,F,South,0
20-301a,F,South,0
20-301a,U,South,0
20-302,F,South,0
20-302,F,South,0
20-339b,C,South,1
20-339b,C,South,0
20-339b,F,South,1
20-339b,F,South,1
20-339b,L,South,0
20-339b,L,South,0
20-304,L,South,0
20-339a,C,South,0
20-339a,C,South,1
20-369a,C,South,0
20-369a,C,South,0
20-369a,C,South,1
20-369a,F,South,1
20-369a,F,South,0
20-369a,L,South,1
20-369a,L,South,1
20-369a,L,South,0
20-369a,L,South,0
20-369a,L,South,0
20-269,C,South,2
20-305,F,South,1
20-305,F,South,1
20-305,L,South,1
20-306,C,South,0
20-306,C,South,0
20-306,L,South,0
20-370a,C,South,1
20-370a,C,South,1
20-370a,C,South,1
20-370a,C,South,0
20-370a,F,South,0
20-370a,F,South,1
20-370a,L,South,0
20-370a,L,South,1
20-370a,L,South,0
20-370a,L,South,1
20-307,C,South,0
20-307,F,South,0
20-377,C,South,0
20-377,F,South,2
20-377,F,South,2
20-377,L,South,0
20-377,L,South,1
20-308,C,South,1
20-308,F,South,0
20-308,F,South,1
20-378a,C,South,0
20-378a,C,South,0
20-378a,C,South,1
20-378a,C,South,1
20-370b,C,South,1
20-370b,C,South,1
20-382,C,South,1
20-382,C,South,0
20-382,L,South,0
20-382,L,South,1
20-382,L,South,0
20-382,L,South,0
20-348,C,South,0
20-348,F,South,0
20-348,L,South,0
20-348,L,South,0
20-348,L,South,1
20-380,C,South,0
20-380,C,South,0
20-380,C,South,0
20-380,F,South,0
20-383,C,South,0
20-383,C,South,0
20-383,C,South,0
20-383,F,South,0
20-383,L,South,1
20-383,U,South,1
20-385,C,South,0
20-385,C,South,0
20-385,C,South,1
20-385,F,South,0
20-385,F,South,0
20-385,L,South,0
20-385,L,South,0
20-385,U,South,0
20-291,C,South,2
20-291,C,South,1
20-568,C,South,0
20-568,C,South,0
20-568,C,South,0
20-568,F,South,0
20-568,L,South,0
20-568,L,South,0
20-388a,C,South,0
20-388a,C,South,1
20-388a,F,South,0
20-388a,L,South,0
20-388a,L,South,0
20-386,C,South,0
20-386,C,South,0
20-386,C,South,1
20-386,C,South,2
20-386,F,South,0
20-386,L,South,0
20-386,U,South,1
20-353,C,South,0
20-353,C,South,0
20-353,F,South,0
20-389,C,South,0
20-389,C,South,0
20-389,C,South,1
20-389,L,South,0
20-389,L,South,0
20-389,L,South,0
20-389,L,South,0
20-389,L,South,2
20-292,C,South,2
20-391,C,South,2
20-391,C,South,0
20-391,L,South,0
20-391,L,South,0
20-391,L,South,1
21-092,C,South,0
21-092,C,South,0
21-092,C,South,0
21-092,F,South,0
21-092,L,South,0
21-092,L,South,0
21-101,C,South,1
21-101,C,South,1
21-101,F,South,1
21-101,F,South,1
21-101,F,South,1
21-101,L,South,0
21-101,L,South,0
21-101,L,South,0
21-025,U,South,1
21-025,U,South,1
21-025,U,South,2
21-591,C,South,1
21-591,C,South,2
21-591,F,South,1
21-591,U,South,1
21-093,C,South,0
21-093,C,South,1
21-093,C,South,1
21-093,F,South,1
21-062,C,South,0
21-062,F,South,0
21-062,F,South,0
21-094,C,South,1
21-094,C,South,1
21-094,C,South,1
21-094,C,South,1
21-094,F,South,0
21-094,L,South,0
21-094,L,South,0
21-143,C,South,0
21-143,C,South,1
21-143,C,South,0
21-143,C,South,1
21-091,C,South,0
21-091,C,South,1
21-091,C,South,1
21-091,C,South,1
21-091,F,South,1
21-144,C,South,2
21-144,F,South,0
21-144,F,South,0
21-144,F,South,1
21-061,C,South,1
21-061,C,South,1
21-061,F,South,0
21-061,F,South,0
21-061,L,South,0
21-064,C,South,0
21-064,C,South,1
21-064,F,South,1
21-064,L,South,0
21-145a,C,South,1
21-145a,C,South,0
21-145a,F,South,1
21-145a,F,South,1
21-145a,F,South,3
21-145a,L,South,1
21-145a,L,South,0
21-145a,L,South,0
21-145a,L,South,0
21-054,C,South,2
21-054,C,South,2
21-054,C,South,2
21-054,F,South,2
21-147,C,South,0
21-147,C,South,1
21-147,F,South,0
21-147,F,South,0
21-147,L,South,0
21-147,L,South,0
21-147,L,South,0
21-147,L,South,0
21-147,L,South,1
21-100,C,South,1
21-100,U,South,1
21-100,U,South,1
21-065,C,South,0
21-065,F,South,0
21-065,L,South,0
21-065,L,South,1
21-146,C,South,0
21-146,F,South,0
21-056b,C,South,1
21-056b,F,South,1
21-056b,U,South,2
21-056b,U,South,2
21-148,C,South,1
21-148,F,South,0
21-148,L,South,0
21-149,C,South,0
21-149,F,South,0
21-149,F,South,0
21-149,L,South,0
21-150,C,South,1
21-150,C,South,0
21-150,F,South,0
21-150,F,South,0
21-150,L,South,0
21-151,C,South,0
21-151,C,South,0
21-151,F,South,0
21-151,L,South,0
21-152,C,South,0
21-152,C,South,0
21-152,F,South,0
21-057,C,South,2
21-057,F,South,0
21-057,F,South,1
21-057,F,South,0
21-057,L,South,0
21-109,C,South,2
21-109,L,South,1
21-109,L,South,1
21-109,U,South,1
21-109,U,South,2
21-068,C,South,1
21-068,C,South,1
21-068,C,South,1
21-068,C,South,0
21-068,F,South,0
21-068,L,South,0
21-070,C,South,2
21-070,C,South,2
21-070,C,South,0
21-070,C,South,0
21-071,C,South,1
21-071,C,South,1
21-071,C,South,0
21-071,F,South,0
21-071,F,South,0
21-157,C,South,0
21-157,C,South,0
21-157,L,South,0
21-158,C,South,0
21-158,L,South,0
21-158,L,South,0
21-074,C,South,1
21-074,F,South,0
21-074,L,South,0
21-074,U,South,2
21-159,C,South,0
21-159,C,South,1
21-159,C,South,1
21-159,C,South,1
21-159,F,South,0
21-159,L,South,0
21-072,C,South,1
21-072,F,South,1
21-072,L,South,0
21-072,L,South,0
21-072,L,South,1
21-072,L,South,0
21-072,L,South,0
21-072,L,South,1
21-072,L,South,0
21-072,L,South,0
21-072,U,South,2
21-115,C,South,1
21-115,C,South,1
21-115,C,South,2
21-115,C,South,1
21-115,C,South,2
21-115,F,South,1
21-115,L,South,1
21-115,L,South,1
21-161,C,South,0
21-161,C,South,0
21-161,C,South,0
21-161,F,South,0
21-161,F,South,0
21-161,U,South,1
21-289a,C,South,2
21-289a,C,South,2
21-289a,C,South,2
21-289a,C,South,2
21-289a,C,South,1
21-289a,F,South,2
21-289a,U,South,1
21-076,C,South,1
21-076,C,South,1
21-076,C,South,1
21-076,C,South,2
21-076,F,South,1
21-076,F,South,0
21-076,L,South,0
21-165,C,South,0
21-165,F,South,0
21-290,C,South,0
21-290,C,South,2
21-290,C,South,2
21-290,L,South,1
21-290,L,South,2
21-116,C,South,1
21-116,L,South,0
21-116,L,South,0
21-116,U,South,2
21-116,U,South,2
21-236,C,South,1
21-236,C,South,1
21-236,C,South,1
21-236,C,South,1
21-236,C,South,1
21-236,C,South,1
21-236,L,South,0
21-236,L,South,1
21-236,U,South,2
21-081,C,South,0
21-081,C,South,0
21-081,L,South,0
21-081,L,South,1
21-238,C,South,1
21-238,C,South,1
21-238,C,South,0
21-238,C,South,0
21-238,C,South,1
21-238,C,South,1
21-238,C,South,1
21-238,F,South,1
21-238,L,South,0
21-238,U,South,1
21-237,C,South,2
21-237,C,South,0
21-237,C,South,1
21-237,F,South,2
21-172,C,South,0
21-172,C,South,1
21-172,F,South,0
21-172,F,South,0
21-082,C,South,0
21-082,C,South,1
21-082,F,South,0
21-082,U,South,2
21-241,C,South,0
21-241,C,South,0
21-241,C,South,0
21-241,C,South,0
21-241,C,South,1
21-241,F,South,0
21-241,L,South,0
21-241,L,South,1
21-294,C,South,2
21-294,F,South,1
21-294,F,South,2
21-294,L,South,1
21-294,U,South,1
21-242a,C,South,0
21-242a,C,South,0
21-242a,C,South,1
21-242a,C,South,1
21-242a,C,South,1
21-242a,C,South,1
21-242a,F,South,0
21-242a,L,South,0
21-295,C,South,1
21-295,F,South,1
21-295,F,South,1
21-295,F,South,2
21-295,L,South,0
21-128,C,South,2
21-128,C,South,2
21-128,C,South,1
21-128,F,South,2
21-128,L,South,2
21-128,L,South,2
21-128,U,South,2
21-086,C,South,0
21-086,C,South,2
21-086,C,South,2
21-086,C,South,1
21-086,C,South,1
21-086,F,South,0
21-086,F,South,1
21-086,F,South,1
21-086,F,South,2
21-086,F,South,3
21-086,F,South,3
21-086,L,South,0
21-086,U,South,1
21-086,U,South,2
21-247,C,South,1
21-247,C,South,1
21-247,C,South,0
21-247,F,South,0
21-247,L,South,0
21-296,C,South,2
21-296,F,South,1
21-296,F,South,2
21-296,F,South,2
21-296,U,South,1
21-180,C,South,0
21-180,F,South,0
21-180,L,South,0
21-129,C,South,2
21-129,L,South,1
21-129,L,South,1
21-129,L,South,1
21-129,U,South,2
21-129,U,South,1
21-135,C,South,1
21-135,C,South,2
21-135,L,South,0
21-135,L,South,1
21-135,U,South,2
21-131,C,South,1
21-131,C,South,1
21-131,U,South,1
21-181,C,South,0
21-181,C,South,0
21-181,F,South,0
21-181,F,South,0
21-181,L,South,0
21-258,C,South,1
21-258,C,South,2
21-258,C,South,0
21-258,C,South,2
21-258,F,South,0
21-258,L,South,0
21-258,U,South,2
21-133,C,South,2
21-133,L,South,2
21-133,U,South,1
21-299,C,South,2
21-299,C,South,1
21-299,F,South,1
21-299,F,South,1
21-299,L,South,0
21-299,L,South,1
21-087,C,South,2
21-087,C,South,1
21-087,F,South,1
21-087,F,South,2
21-087,F,South,0
21-087,F,South,0
21-087,F,South,0
21-087,F,South,0
21-087,F,South,0
21-087,F,South,1
21-087,F,South,1
21-087,U,South,1
21-087,U,South,2
21-136,C,South,1
21-136,F,South,1
21-136,U,South,2
21-134,L,South,0
21-134,L,South,1
21-134,L,South,2
21-134,U,South,2
21-134,U,South,2
21-300a,F,South,1
21-300a,L,South,1
21-300a,U,South,1
21-132,C,South,2
21-132,L,South,1
21-132,L,South,1
21-132,U,South,1
21-132,U,South,2
21-185,C,South,0
21-185,C,South,0
21-185,C,South,0
21-185,F,South,0
21-185,F,South,0
21-263,C,South,1
21-263,C,South,1
21-263,C,South,1
21-263,C,South,1
21-263,F,South,0
21-263,L,South,0
21-263,U,South,2
21-303,C,South,0
21-303,C,South,1
21-303,F,South,1
21-139,C,South,1
21-139,C,South,1
21-139,C,South,0
21-139,L,South,0
21-304,C,South,0
21-304,C,South,0
21-304,U,South,2
21-304,U,South,2
21-050,F,South,2
21-306,C,South,1
21-306,F,South,1
21-306,F,South,1
21-470,C,South,1
21-470,C,South,0
21-470,C,South,0
21-470,F,South,1
21-470,U,South,2
21-386,C,South,2
21-386,C,South,2
21-474,L,South,0
21-474,L,South,0
21-474,U,South,1
21-474,U,South,2
21-433,C,South,2
21-433,C,South,1
21-433,C,South,2
21-479,C,South,0
21-479,F,South,0
21-479,L,South,0
21-479,U,South,1
21-334,F,South,3
21-491,C,South,1
21-491,C,South,1
21-491,C,South,0
21-491,C,South,0
21-491,F,South,0
21-491,L,South,0
21-491,L,South,0
21-449,C,South,1
21-449,C,South,2
21-449,C,South,1
21-449,F,South,1
21-449,L,South,1
21-449,L,South,1
21-449,U,South,1
21-450,C,South,1
21-450,F,South,0
21-450,F,South,1
21-450,F,South,1
21-450,L,South,1
21-450,U,South,1
21-496,C,South,0
21-496,L,South,0
21-496,U,South,2
21-453,C,South,1
21-453,C,South,1
21-453,C,South,2
21-453,U,South,2
21-560,C,South,1
21-560,F,South,0
21-560,L,South,0
21-560,U,South,2
21-560,U,South,1
21-560,U,South,2
21-394,C,South,3
21-394,U,South,2
21-394,U,South,2
21-460,C,South,1
21-460,C,South,2
21-460,L,South,1
21-460,L,South,1
21-460,U,South,1
21-562,C,South,1
21-562,C,South,1
21-562,L,South,1
21-562,L,South,0
21-562,L,South,0
21-562,U,South,1
21-403b,C,South,3
21-403b,F,South,2
21-464,C,South,2
21-464,C,South,2
21-464,C,South,1
21-464,C,South,1
21-464,L,South,1
21-464,L,South,0
21-464,L,South,0
21-464,U,South,1
21-565,C,South,1
21-565,F,South,0
21-565,L,South,0
21-565,L,South,0
21-565,L,South,1
21-465,C,South,1
21-465,C,South,1
21-465,C,South,2
21-465,L,South,0
21-465,L,South,1
21-465,L,South,1
21-465,U,South,1
21-566,C,South,1
21-566,C,South,0
21-566,C,South,1
21-566,F,South,0
21-566,L,South,0
21-566,L,South,0
21-526,C,South,1
21-526,C,South,1
21-526,C,South,1
21-526,F,South,0
21-526,L,South,1
21-526,U,South,1
21-466,C,South,1
21-466,C,South,2
21-466,C,South,2
21-466,C,South,2
21-466,L,South,0
21-466,L,South,0
21-466,U,South,1
21-570,C,South,1
21-570,C,South,1
21-570,C,South,1
21-570,F,South,1
21-570,L,South,0
21-530,C,South,1
21-530,C,South,2
21-530,C,South,0
21-530,U,South,1
21-761,C,South,3
21-761,U,South,2
21-532,C,South,1
21-532,C,South,2
21-532,C,South,2
21-532,F,South,2
21-531,C,South,1
21-531,C,South,1
21-531,C,South,1
21-531,L,South,1
21-529,C,South,0
21-529,C,South,1
21-529,C,South,1
21-529,L,South,0
21-529,U,South,1
21-538,C,South,1
21-538,C,South,1
21-538,C,South,1
21-538,F,South,2
21-538,L,South,2
21-538,L,South,1
21-538,U,South,1
21-467,C,South,1
21-467,C,South,1
21-467,F,South,1
21-467,L,South,0
21-467,L,South,0
21-467,L,South,1
21-575,C,South,1
21-575,C,South,1
21-575,F,South,0
21-540,C,South,1
21-540,C,South,1
21-540,C,South,2
21-540,L,South,1
21-540,L,South,1
21-540,U,South,1
21-540,U,South,1
21-579,C,South,1
21-579,C,South,1
21-579,F,South,1
21-579,F,South,1
21-579,U,South,1
21-544,C,South,2
21-544,C,South,2
21-544,C,South,1
21-544,C,South,1
21-544,L,South,1
21-544,U,South,1
21-546,C,South,1
21-546,C,South,1
21-546,C,South,2
21-546,C,South,2
21-546,L,South,0
21-546,L,South,1
21-582,C,South,1
21-582,F,South,0
21-582,L,South,0
21-582,L,South,0
21-551,C,South,2
21-551,C,South,2
21-551,C,South,2
21-551,L,South,0
21-551,L,South,1
21-551,L,South,2
21-551,U,South,2
21-551,U,South,1
21-586,C,South,1
21-586,C,South,2
21-586,C,South,2
21-586,F,South,0
21-586,L,South,0
21-586,U,South,1
21-586,U,South,1
21-556,C,South,1
21-556,C,South,2
21-556,C,South,1
21-556,U,South,1
21-556,U,South,1
22-084,C,South,1
22-084,C,South,1
22-084,C,South,1
22-084,C,South,1
22-084,U,South,1
22-103,F,South,1
22-086,C,South,1
22-086,C,South,1
22-086,C,South,1
22-090,C,South,0
22-090,L,South,1
22-106,C,South,0
22-106,F,South,1
22-106,U,South,1
22-092,C,South,1
22-092,C,South,2
22-092,F,South,1
22-116,C,South,1
22-116,F,South,1
22-116,U,South,1
22-093,C,South,0
22-093,C,South,1
22-093,C,South,1
22-093,C,South,1
22-093,F,South,0
22-093,U,South,2
22-115,C,South,1
22-115,C,South,1
22-115,C,South,1
22-115,L,South,0
22-115,L,South,0
22-115,U,South,1
22-121,C,South,1
22-121,C,South,1
22-122,C,South,1
22-122,C,South,1
22-122,C,South,1
22-123,C,South,1
22-123,C,South,1
22-123,C,South,1
22-123,C,South,2
22-123,F,South,0
22-124,L,South,1
22-124,L,South,1
22-124,U,South,1
22-125,C,South,0
22-125,C,South,1
22-125,U,South,2
22-131,C,South,1
22-131,C,South,0
22-131,U,South,1
22-129,C,South,2
22-129,F,South,1
22-129,F,South,1
22-133,C,South,2
22-133,L,South,0
22-134,C,South,1
22-134,C,South,1
22-134,F,South,1
22-134,U,South,1
22-139,C,South,0
22-139,C,South,0
22-139,C,South,1
22-139,L,South,1
22-140,C,South,1
22-140,C,South,1
22-140,L,South,0
22-142,C,South,2
22-142,F,South,1
22-142,U,South,1
22-141,C,South,1
22-141,C,South,1
22-141,C,South,1
22-141,L,South,0
22-143,C,South,0
22-143,C,South,1
22-143,L,South,0
22-143,L,South,1
22-144,C,South,0
22-144,C,South,0
22-144,F,South,1
22-144,L,South,0
22-144,L,South,0
